,Unnamed: 0,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,Scaled,k,KMeans_Sharpe,KMeans_Sortino,KMeans_Return
698,698,2015-10-09,2020-10-09,2020-10-12,2021-10-12,0.0832709581687237,0.1175313435893124,0.1921392825237846,0.108151076221454,0.1483753584433431,0.2652076336415264,0.0998309285475637,0.1464149236381522,0.2720094558106259,True,30,0.09823996506531174,0.13967954219551348,0.30878583654043507
699,699,2015-10-12,2020-10-12,2020-10-13,2021-10-13,0.0859542967906018,0.1206119056610959,0.1986762791742312,0.1115451780392007,0.1524283303106752,0.2744924158419287,0.1003742523356537,0.1469444963060233,0.278852528305628,True,30,0.06102783874696235,0.08317106558529427,0.1958807957117571
700,700,2015-10-13,2020-10-13,2020-10-14,2021-10-14,0.0955582464290202,0.1341437795219086,0.2244005959791681,0.1216561313439222,0.1666533495337338,0.3052075125859989,0.1111415106771151,0.163431807305215,0.3117795961574531,True,30,0.08164764332296473,0.11628312849739132,0.32098911484520665
701,701,2015-10-14,2020-10-14,2020-10-15,2021-10-15,0.1007448265774009,0.1417202404813792,0.2386648049938892,0.1225200486752394,0.1678731848034871,0.3077547092180644,0.1141765807203144,0.1669105634307566,0.3252359967293527,True,30,0.12906596951418184,0.1866472923069376,0.47612719454845104
702,702,2015-10-15,2020-10-15,2020-10-16,2021-10-18,0.0984308224818883,0.1385986716703012,0.2325465500776264,0.1240412042457125,0.1698938571285141,0.3121483662010761,0.1136951348077587,0.1661828441684096,0.3282604200748761,True,30,0.0688829066021744,0.09415876726322457,0.24343911919858063
703,703,2015-10-16,2020-10-16,2020-10-19,2021-10-19,0.1085365937496785,0.1525613708755438,0.2575556133583586,0.1342968601205798,0.1835548945680341,0.3395221160347403,0.1225659364314881,0.178890427131801,0.3467537594925407,True,30,0.08124665741259261,0.110273465951248,0.30394742949029185
704,704,2015-10-19,2020-10-19,2020-10-20,2021-10-20,0.1086571696484268,0.1527383089308124,0.2578899000282874,0.1336426004532879,0.1826046617218615,0.3374966106062634,0.1224726228618704,0.1781236499640613,0.3425675759158822,True,30,0.08210269680526365,0.10734349529312437,0.2892499101777566
705,705,2015-10-20,2020-10-20,2020-10-21,2021-10-21,0.1102720711393305,0.1543743051788578,0.2620362588047306,0.1388078137369282,0.1886042720302641,0.3522109434253318,0.1261062325421404,0.1848435820702411,0.3573538613868685,True,30,0.08107205613841298,0.10835576430283433,0.2746213287592117
706,706,2015-10-21,2020-10-21,2020-10-22,2021-10-22,0.1087529886624541,0.152166428246766,0.2578425821883388,0.1378156349226443,0.187181574101614,0.3491366467941224,0.1269550730900198,0.1843701800786213,0.3513333414461306,True,30,0.08276710984616413,0.11035754979716357,0.27957859626635223
707,707,2015-10-22,2020-10-22,2020-10-23,2021-10-25,0.1100830657523241,0.1538252019909983,0.2613527112151715,0.1363064004008508,0.1849988159381226,0.3444335246099951,0.1299169814787194,0.1887275963876624,0.3531858085698722,True,30,0.07443450489687461,0.10227686154229065,0.25735752786093
708,708,2015-10-23,2020-10-23,2020-10-26,2021-10-26,0.1233652870846948,0.1754541008889043,0.2915436882690302,0.1476270878862426,0.202665642751768,0.371875036485656,0.1346038872518404,0.1969973033202936,0.3764339123371612,True,30,0.085797168579501,0.1190096123923856,0.29727945058413446
709,709,2015-10-26,2020-10-26,2020-10-27,2021-10-27,0.1236851655778378,0.1759069857425321,0.292300425150057,0.1469384315630026,0.2016865139695983,0.3701519432201214,0.1357054271963604,0.2016612008123148,0.3856103070287747,True,30,0.13116081619906694,0.17751334560135082,0.4731987482353503
710,710,2015-10-27,2020-10-27,2020-10-28,2021-10-28,0.1494765859002473,0.2326640856779061,0.3473057649555383,0.1698278684697163,0.2435007807992655,0.4265981981166249,0.152816922914897,0.2330566899104624,0.4269782627820983,True,30,0.09525523696928156,0.13153219362527502,0.3299212828486059
711,711,2015-10-28,2020-10-28,2020-10-29,2021-10-29,0.1481702718973401,0.2305227025697643,0.3436142254377168,0.1674522564041952,0.2398501518940722,0.4190194204446064,0.151902140409359,0.2338386830668125,0.4235711796039685,True,30,0.14121233158167668,0.1918434128166371,0.5530373111270379
712,712,2015-10-29,2020-10-29,2020-10-30,2021-11-01,0.1526978476929331,0.2360904516386982,0.3551574385361025,0.1724647806841356,0.2454245013829065,0.4328110481495406,0.1531351189236085,0.2321802161178562,0.4399824253032766,True,30,0.1543045880628027,0.2095909545509309,0.6156573334844431
713,713,2015-10-30,2020-10-30,2020-11-02,2021-11-02,0.1476554693804459,0.2267724794204044,0.3389994767013119,0.1665635168149723,0.2352348956155367,0.4115758661794843,0.1502614975188949,0.2276341750415925,0.4214550953490953,True,30,0.10575494849343102,0.13588777014007244,0.3650245496691304
714,714,2015-11-02,2020-11-02,2020-11-03,2021-11-03,0.1404916907509028,0.2131814401720501,0.3157765493762338,0.15973705379629,0.2228760215006159,0.3862418261198637,0.1450904766925993,0.2184044246661295,0.3922923301704021,True,30,0.1283848659273483,0.1784662177338621,0.43040702846376533
715,715,2015-11-03,2020-11-03,2020-11-04,2021-11-04,0.1338636476800336,0.2022686967265347,0.2972088235083709,0.1533717431210056,0.2120610449797375,0.3644458772993404,0.1396845876978495,0.2075664711011204,0.3718595967603879,True,30,0.11045215584682855,0.14348656352817743,0.37676993067595305
716,716,2015-11-04,2020-11-04,2020-11-05,2021-11-05,0.1281818644189445,0.1916421908515957,0.2795956073058933,0.1477649091575181,0.2026553109408974,0.3457688598836482,0.1310719765024786,0.1950136184306905,0.3512458954825374,True,30,0.10936202460943846,0.1346810163500416,0.3867387841671948
717,717,2015-11-05,2020-11-05,2020-11-06,2021-11-08,0.130930662211485,0.1951682742140316,0.2862939565003292,0.1490056512569634,0.2043920789993107,0.3491982197053237,0.1312950632369499,0.1939361599950077,0.3449338699978954,True,30,0.1346082259021506,0.1913717070097415,0.42039983106361595
718,718,2015-11-06,2020-11-06,2020-11-09,2021-11-09,0.1173729648688458,0.1708604492259501,0.2456278538223996,0.1459211692856351,0.1998105678950243,0.3401705539256074,0.1262005581097277,0.1874621946553945,0.3212602368908934,True,30,0.11788319820162607,0.15243675050917976,0.38143910583227303
