Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2015-11-04,2020-11-04,2020-11-05,2021-11-05,0.12818186441894458,0.19164219085159576,0.27959560730589333,0.007632511764582398,0.1477649091575181,0.20265531094089742,0.3457688598836482,0.00797506323940778,0.1289380262268449,0.1926512973365421,0.34768967012080226,0.009260141827286558
2015-11-05,2020-11-05,2020-11-06,2021-11-08,0.13093066221148505,0.1951682742140316,0.2862939565003292,0.007630513468746594,0.14900565125696344,0.2043920789993107,0.3491982197053237,0.007976434039426708,0.13519775645486903,0.1988820059538449,0.3614910461088388,0.009092984682144757
2015-11-06,2020-11-06,2020-11-09,2021-11-09,0.11737296486884585,0.17086044922595017,0.24562785382239968,0.007425782625699758,0.14592116928563512,0.19981056789502433,0.3401705539256074,0.007962466351760298,0.13456531913491826,0.19784255034953674,0.3465310946092117,0.008827508749801384
2015-11-09,2020-11-09,2020-11-10,2021-11-10,0.10907283518905489,0.1594314466736896,0.2263362771136158,0.007422995587320461,0.14022124947379502,0.19321116102412852,0.3262380451312529,0.007990388147256037,0.12621208820174482,0.185589690261392,0.32034662742066694,0.008776778712713753
2015-11-10,2020-11-10,2020-11-11,2021-11-11,0.10704419052422992,0.15723625687184395,0.22190902527421194,0.007429597777956362,0.13708377346046965,0.1886531289271992,0.31743357294200425,0.007980451469526926,0.1208532286555965,0.17765341221153597,0.3109588904033391,0.008949693668066668
2015-11-11,2020-11-11,2020-11-12,2021-11-12,0.11600012142960377,0.16969512335552392,0.24140638416951737,0.007397533228491404,0.14705284858777812,0.2016094592060665,0.34267755505944053,0.007951622319853465,0.13586889200871785,0.19896175511072017,0.35522573058294993,0.008903516283480812
2015-11-12,2020-11-12,2020-11-13,2021-11-15,0.10913635112381087,0.1586406372551294,0.22414115115727706,0.007353532331809088,0.13990484499185799,0.1905605268130379,0.3209742381509035,0.007895659129023506,0.1281025915295705,0.18599999625661026,0.3293372476882312,0.008909291432223984
2015-11-13,2020-11-13,2020-11-16,2021-11-16,0.10226416003025783,0.1474063217534793,0.20673417184965398,0.007291949356241491,0.13669415305106147,0.18560738559566062,0.31145080418496046,0.007871065303127617,0.1239471996038767,0.18088919921528213,0.3183313184797966,0.008906176075809001
2015-11-16,2020-11-16,2020-11-17,2021-11-17,0.10210662929336164,0.14719647179574577,0.20641402839188608,0.00729288758090734,0.1368631953563835,0.18579847892846826,0.3118518059834795,0.007870207826205731,0.12473724851700087,0.1825016696825371,0.315643467287843,0.008768422615397538
2015-11-17,2020-11-17,2020-11-18,2021-11-18,0.10813584947981042,0.15564012020536822,0.2185079672735811,0.007252309545427826,0.14111525329148333,0.19121268156851748,0.3216318499012305,0.007841930184421355,0.1289488926530279,0.18901990087834902,0.32907378293542694,0.008776921330210772
2015-11-18,2020-11-18,2020-11-19,2021-11-19,0.10291981156550765,0.14909186519989542,0.20753322830364243,0.007271018393764869,0.13874717450009788,0.18843266896670585,0.31547526084209926,0.007842230782099151,0.12501778043361023,0.18272640307091173,0.31557784565072206,0.008708481457951743
2015-11-19,2020-11-19,2020-11-20,2021-11-22,0.10754303605836406,0.15478351768240575,0.2171911689738076,0.007252389480408812,0.13882105456534025,0.1885209215256995,0.3156479740487431,0.00784181000151316,0.12553635026993726,0.18394890333778746,0.3212587021301961,0.008884140141604992
2015-11-20,2020-11-20,2020-11-23,2021-11-23,0.10476904314198035,0.1503010116025841,0.21028267284810698,0.007228823580397233,0.13643689915473756,0.1850723265011628,0.30906222329306304,0.007832884897931403,0.11830172294833892,0.17444766426390312,0.30146336203735347,0.008900141547321341
2015-11-23,2020-11-23,2020-11-24,2021-11-24,0.09702924360399297,0.138029144640753,0.19164256915203942,0.0071706685543498835,0.1326671642532549,0.17952988130933117,0.29854686235034766,0.00781421575838629,0.11912274740030691,0.1720802530398446,0.3002794039193304,0.008789302407093079
2015-11-24,2020-11-24,2020-11-25,2021-11-26,0.08398860201281888,0.11442265445296469,0.16827764902951708,0.007348435195777154,0.12134152253090096,0.16105425946411023,0.27491008294863123,0.007942806827313997,0.10949266027183921,0.15734211999619557,0.27493393730530347,0.008837554711174315
2015-11-25,2020-11-25,2020-11-27,2021-11-29,0.0868337037373617,0.11846071881513201,0.17470771561048704,0.007358499091694387,0.12474710444994797,0.1661335235833762,0.28471302568596835,0.007969627584010217,0.11482109469814702,0.1643902844946304,0.2968237197978765,0.009018310037912673
2015-11-27,2020-11-27,2020-11-30,2021-11-30,0.08082326483902176,0.1087082877599282,0.16347167153520556,0.007433834924513626,0.11330253387652561,0.14770386346469402,0.26057011141197056,0.008110190299279901,0.09815147187676036,0.13771108873176324,0.25249947595772854,0.009138992997397321
2015-11-30,2020-11-30,2020-12-01,2021-12-01,0.0698871529994593,0.09415282138572537,0.14076349291515494,0.007477915059865649,0.10390569852511082,0.1360372528991303,0.23711847987282972,0.00812644938748278,0.09522589329705021,0.13370166990538648,0.24643440314885173,0.009190279762726135
2015-12-01,2020-12-01,2020-12-02,2021-12-02,0.07754203782420929,0.10558365643636605,0.15914983170484626,0.007557950195870199,0.11510698202167177,0.151881007988194,0.26944473515924006,0.008224908532887352,0.1047950045122137,0.1495886404490448,0.2715120938276913,0.00910427695276004
2015-12-02,2020-12-02,2020-12-03,2021-12-03,0.07513194338227158,0.10251698923090864,0.15384159191949842,0.007557967701589115,0.10867055467087178,0.14427008590428494,0.25335400646211853,0.008246241733743385,0.0996164551800887,0.1413949959308899,0.2556366088580718,0.009048142111665958
2015-12-03,2020-12-03,2020-12-04,2021-12-06,0.07979535211706279,0.10987491847355974,0.16575314141924097,0.0076270181771853395,0.10894009479019957,0.14468266192097612,0.2541636804157798,0.008249362663830489,0.10058981597928515,0.14185546896360976,0.2572761922285897,0.009057558143597898
2015-12-04,2020-12-04,2020-12-07,2021-12-07,0.08914125916262462,0.12280423486693198,0.18788427857798512,0.007664569713538202,0.11824415745125082,0.1583157815193115,0.28200230923926617,0.008337039316229039,0.10783658822462269,0.1548596594435005,0.28324571243213525,0.009190308491282917
2015-12-07,2020-12-07,2020-12-08,2021-12-08,0.08788651418128005,0.12104437354972326,0.1849569555416014,0.007662589623675692,0.121280330244379,0.16261027449612278,0.2906705846364619,0.008348817034860059,0.10838309194250911,0.15522213088363293,0.28973902996661743,0.009320460739761845
2015-12-08,2020-12-08,2020-12-09,2021-12-09,0.08974363975134142,0.1230263617792022,0.18909563617460498,0.007658191759117057,0.11917207638873469,0.15985559095321258,0.2855810797151831,0.00836494887550362,0.10251685676579564,0.14733486324768688,0.2758514092967468,0.009522564180895551
2015-12-09,2020-12-09,2020-12-10,2021-12-10,0.09400731323512408,0.12859050663533797,0.1990625289517235,0.007663200895869859,0.12276400474842301,0.1641352673143662,0.29555003691821613,0.008369889920840767,0.10962144258657078,0.15730169089937873,0.29357926099466264,0.009375458958352042
2015-12-10,2020-12-10,2020-12-11,2021-12-13,0.08829149738278985,0.12152743899579493,0.18653102649089062,0.007687106410129296,0.11998862631266292,0.1609625460748441,0.28857772435646534,0.008385023272719045,0.10403795883341728,0.14956804404326876,0.2776943320402574,0.009411298352416957
2015-12-11,2020-12-11,2020-12-14,2021-12-14,0.09002978816908323,0.12364272624568007,0.1902991893447848,0.007678441622906268,0.1164431543807744,0.15672443584006454,0.27977644369539006,0.00840676602785105,0.10097304600329754,0.14396444947155296,0.27056823765530397,0.009413816781642775
